,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,128.2,120.38,117.09,112.15,109.75,111.89,117.11,135.81,138.82,137.77,125.08,112.1,102.21,97.27,99.39,97.8,125.41,145.0,158.55,150.78,133.41,125.42,122.03,119.92,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
1,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,128.2,120.38,117.09,112.15,109.75,111.89,117.11,135.81,138.82,137.77,125.08,112.1,102.21,97.27,99.39,97.8,125.41,145.0,158.55,150.78,133.41,125.42,122.03,119.92,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1
2,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,128.2,120.38,117.09,112.15,109.75,111.89,117.11,135.81,138.82,137.77,125.08,112.1,102.21,97.27,99.39,97.8,125.41,145.0,158.55,150.78,133.41,125.42,122.03,119.92,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1
3,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,128.2,120.38,117.09,112.15,109.75,111.89,117.11,135.81,138.82,137.77,125.08,112.1,102.21,97.27,99.39,97.8,125.41,145.0,158.55,150.78,133.41,125.42,122.03,119.92,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
4,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,102.61,57.86,30.22,21.37,19.06,19.05,43.56,90.69,103.11,89.0,33.71,11.22,7.4,3.14,2.85,19.0,54.16,99.69,136.58,117.23,80.9,61.1,35.12,25.41,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
5,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,102.61,57.86,30.22,21.37,19.06,19.05,43.56,90.69,103.11,89.0,33.71,11.22,7.4,3.14,2.85,19.0,54.16,99.69,136.58,117.23,80.9,61.1,35.12,25.41,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1
6,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,102.61,57.86,30.22,21.37,19.06,19.05,43.56,90.69,103.11,89.0,33.71,11.22,7.4,3.14,2.85,19.0,54.16,99.69,136.58,117.23,80.9,61.1,35.12,25.41,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1
7,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,102.61,57.86,30.22,21.37,19.06,19.05,43.56,90.69,103.11,89.0,33.71,11.22,7.4,3.14,2.85,19.0,54.16,99.69,136.58,117.23,80.9,61.1,35.12,25.41,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
8,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,28.31,27.04,25.8,20.11,14.94,20.11,41.81,58.7,70.1,44.59,20.1,4.29,2.43,1.67,10.81,34.89,70.65,129.19,163.66,102.7,88.19,79.94,69.01,40.3,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
9,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,28.31,27.04,25.8,20.11,14.94,20.11,41.81,58.7,70.1,44.59,20.1,4.29,2.43,1.67,10.81,34.89,70.65,129.19,163.66,102.7,88.19,79.94,69.01,40.3,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1
10,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,28.31,27.04,25.8,20.11,14.94,20.11,41.81,58.7,70.1,44.59,20.1,4.29,2.43,1.67,10.81,34.89,70.65,129.19,163.66,102.7,88.19,79.94,69.01,40.3,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1
11,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,28.31,27.04,25.8,20.11,14.94,20.11,41.81,58.7,70.1,44.59,20.1,4.29,2.43,1.67,10.81,34.89,70.65,129.19,163.66,102.7,88.19,79.94,69.01,40.3,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
12,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,65.55,54.39,32.29,20.11,20.1,42.51,52.96,65.9,62.85,61.23,25.3,13.26,4.0,4.04,10.11,30.07,32.66,74.91,64.54,42.3,29.85,25.33,25.52,20.1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
13,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,65.55,54.39,32.29,20.11,20.1,42.51,52.96,65.9,62.85,61.23,25.3,13.26,4.0,4.04,10.11,30.07,32.66,74.91,64.54,42.3,29.85,25.33,25.52,20.1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1
14,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,65.55,54.39,32.29,20.11,20.1,42.51,52.96,65.9,62.85,61.23,25.3,13.26,4.0,4.04,10.11,30.07,32.66,74.91,64.54,42.3,29.85,25.33,25.52,20.1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1
15,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,65.55,54.39,32.29,20.11,20.1,42.51,52.96,65.9,62.85,61.23,25.3,13.26,4.0,4.04,10.11,30.07,32.66,74.91,64.54,42.3,29.85,25.33,25.52,20.1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
16,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,4.0,4.0,4.0,4.0,9.8,4.0,16.04,43.93,39.29,12.6,0.34,-0.67,-0.7,-0.78,0.01,3.97,13.23,60.4,60.41,43.5,34.76,33.55,31.31,31.16,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
17,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,4.0,4.0,4.0,4.0,9.8,4.0,16.04,43.93,39.29,12.6,0.34,-0.67,-0.7,-0.78,0.01,3.97,13.23,60.4,60.41,43.5,34.76,33.55,31.31,31.16,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1
18,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,4.0,4.0,4.0,4.0,9.8,4.0,16.04,43.93,39.29,12.6,0.34,-0.67,-0.7,-0.78,0.01,3.97,13.23,60.4,60.41,43.5,34.76,33.55,31.31,31.16,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1
19,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,4.0,4.0,4.0,4.0,9.8,4.0,16.04,43.93,39.29,12.6,0.34,-0.67,-0.7,-0.78,0.01,3.97,13.23,60.4,60.41,43.5,34.76,33.55,31.31,31.16,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
20,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,30.3,29.53,35.47,39.26,47.4,65.97,93.16,139.44,108.51,78.7,50.47,4.02,0.08,0.02,13.16,63.61,99.2,129.7,165.36,149.11,125.64,106.63,101.47,91.11,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
21,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,30.3,29.53,35.47,39.26,47.4,65.97,93.16,139.44,108.51,78.7,50.47,4.02,0.08,0.02,13.16,63.61,99.2,129.7,165.36,149.11,125.64,106.63,101.47,91.11,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1
22,682.06,640.725,517.3375,458.2075,402.075,346.675,325.7325,278.4575,208.3475,182.22750000000002,199.8075,257.57,290.03499999999997,322.5575,402.1025,400.1475,356.98,312.2925,337.9025,379.90250000000003,339.785,345.745,302.945,262.83,30.3,29.53,35.47,39.26,47.4,65.97,93.16,139.44,108.51,78.7,50.47,4.02,0.08,0.02,13.16,63.61,99.2,129.7,165.36,149.11,125.64,106.63,101.47,91.11,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1
